---,PartType,DisplayName,ParentPart,BaseHP,BleedMultiplier,InfectionMultiplier,bInstantDeathOnDestruction,DeathTimerOnDestruction,bCausesInternalBleeding,bDisablesMovement,bDisablesGrip,bDisablesVision,bDisablesHearing,bDisablesEating,bHasBone,bIsJoint,bIsOrgan,bCanBeAmputated,Icon,UIPosition,UILayer
Intestines,"Intestines","Intestines","Torso","60.000000","0.500000","2.500000","False","14400.000000","True","False","False","False","False","False","False","False","True","False","None","(X=0.500000,Y=0.480000)","1"
SpineCervical,"SpineCervical","Neck","Torso","80.000000","1.500000","1.000000","False","60.000000","False","True","False","False","False","False","True","False","False","False","None","(X=0.500000,Y=0.180000)","0"
SpineThoracic,"SpineThoracic","Upper Back","Torso","120.000000","0.800000","1.000000","False","0.000000","False","True","False","False","False","False","True","False","False","False","None","(X=0.500000,Y=0.300000)","0"
SpineLumbar,"SpineLumbar","Lower Back","Torso","120.000000","0.800000","1.000000","False","0.000000","False","True","False","False","False","False","True","False","False","False","None","(X=0.500000,Y=0.450000)","0"
ShoulderLeft,"ShoulderLeft","Left Shoulder","Torso","80.000000","1.000000","1.000000","False","0.000000","False","False","False","False","False","False","True","True","False","True","None","(X=0.350000,Y=0.250000)","0"
UpperArmLeft,"UpperArmLeft","Left Upper Arm","ShoulderLeft","70.000000","1.200000","1.000000","False","0.000000","False","False","False","False","False","False","True","False","False","True","None","(X=0.320000,Y=0.320000)","0"
ElbowLeft,"ElbowLeft","Left Elbow","UpperArmLeft","50.000000","0.800000","1.000000","False","0.000000","False","False","False","False","False","False","True","True","False","True","None","(X=0.300000,Y=0.400000)","0"
ForearmLeft,"ForearmLeft","Left Forearm","ElbowLeft","60.000000","1.000000","1.000000","False","0.000000","False","False","False","False","False","False","True","False","False","True","None","(X=0.280000,Y=0.480000)","0"
WristLeft,"WristLeft","Left Wrist","ForearmLeft","30.000000","0.600000","1.000000","False","0.000000","False","False","True","False","False","False","True","True","False","True","None","(X=0.260000,Y=0.550000)","0"
HandLeft,"HandLeft","Left Hand","WristLeft","40.000000","0.800000","1.200000","False","0.000000","False","False","True","False","False","False","True","False","False","True","None","(X=0.240000,Y=0.600000)","0"
ShoulderRight,"ShoulderRight","Right Shoulder","Torso","80.000000","1.000000","1.000000","False","0.000000","False","False","False","False","False","False","True","True","False","True","None","(X=0.650000,Y=0.250000)","0"
UpperArmRight,"UpperArmRight","Right Upper Arm","ShoulderRight","70.000000","1.200000","1.000000","False","0.000000","False","False","False","False","False","False","True","False","False","True","None","(X=0.680000,Y=0.320000)","0"
ElbowRight,"ElbowRight","Right Elbow","UpperArmRight","50.000000","0.800000","1.000000","False","0.000000","False","False","False","False","False","False","True","True","False","True","None","(X=0.700000,Y=0.400000)","0"
ForearmRight,"ForearmRight","Right Forearm","ElbowRight","60.000000","1.000000","1.000000","False","0.000000","False","False","False","False","False","False","True","False","False","True","None","(X=0.720000,Y=0.480000)","0"
WristRight,"WristRight","Right Wrist","ForearmRight","30.000000","0.600000","1.000000","False","0.000000","False","False","True","False","False","False","True","True","False","True","None","(X=0.740000,Y=0.550000)","0"
HandRight,"HandRight","Right Hand","WristRight","40.000000","0.800000","1.200000","False","0.000000","False","False","True","False","False","False","True","False","False","True","None","(X=0.760000,Y=0.600000)","0"
HipLeft,"HipLeft","Left Hip","Torso","100.000000","1.000000","1.000000","False","0.000000","False","True","False","False","False","False","True","True","False","False","None","(X=0.420000,Y=0.550000)","0"
ThighLeft,"ThighLeft","Left Thigh","HipLeft","90.000000","1.500000","1.000000","False","0.000000","False","True","False","False","False","False","True","False","False","True","None","(X=0.400000,Y=0.650000)","0"
KneeLeft,"KneeLeft","Left Knee","ThighLeft","60.000000","0.800000","1.000000","False","0.000000","False","True","False","False","False","False","True","True","False","True","None","(X=0.400000,Y=0.720000)","0"
CalfLeft,"CalfLeft","Left Calf","KneeLeft","70.000000","1.200000","1.000000","False","0.000000","False","True","False","False","False","False","True","False","False","True","None","(X=0.400000,Y=0.800000)","0"
AnkleLeft,"AnkleLeft","Left Ankle","CalfLeft","40.000000","0.600000","1.000000","False","0.000000","False","True","False","False","False","False","True","True","False","True","None","(X=0.400000,Y=0.870000)","0"
FootLeft,"FootLeft","Left Foot","AnkleLeft","50.000000","0.800000","1.200000","False","0.000000","False","True","False","False","False","False","True","False","False","True","None","(X=0.400000,Y=0.920000)","0"
HipRight,"HipRight","Right Hip","Torso","100.000000","1.000000","1.000000","False","0.000000","False","True","False","False","False","False","True","True","False","False","None","(X=0.580000,Y=0.550000)","0"
ThighRight,"ThighRight","Right Thigh","HipRight","90.000000","1.500000","1.000000","False","0.000000","False","True","False","False","False","False","True","False","False","True","None","(X=0.600000,Y=0.650000)","0"
KneeRight,"KneeRight","Right Knee","ThighRight","60.000000","0.800000","1.000000","False","0.000000","False","True","False","False","False","False","True","True","False","True","None","(X=0.600000,Y=0.720000)","0"
CalfRight,"CalfRight","Right Calf","KneeRight","70.000000","1.200000","1.000000","False","0.000000","False","True","False","False","False","False","True","False","False","True","None","(X=0.600000,Y=0.800000)","0"
AnkleRight,"AnkleRight","Right Ankle","CalfRight","40.000000","0.600000","1.000000","False","0.000000","False","True","False","False","False","False","True","True","False","True","None","(X=0.600000,Y=0.870000)","0"
FootRight,"FootRight","Right Foot","AnkleRight","50.000000","0.800000","1.200000","False","0.000000","False","True","False","False","False","False","True","False","False","True","None","(X=0.600000,Y=0.920000)","0"
