# MO57 Item Definitions
# Format: RowName,DisplayName,ItemType,Rarity,MaxStackSize,Weight,bConsumable,bIsTool,ToolType,ToolQuality,MaxDurability,Calories,Water,Protein,Carbs,Fat,Fiber,Tags,Description
#
# ItemTypes: None, Consumable, Material, Tool, Weapon, Ammo, Armor, KeyItem, Quest, Currency, Misc
# Rarities: Common, Uncommon, Rare, Epic, Legendary
# Tags: Use pipe (|) to separate multiple tags
# ToolTypes: Hammer, Knife, Axe, Saw, Pickaxe, Chisel, Needle, Pestle, Tongs, Shovel

RowName,DisplayName,ItemType,Rarity,MaxStackSize,Weight,bConsumable,bIsTool,ToolType,ToolQuality,MaxDurability,Calories,Water,Protein,Carbs,Fat,Fiber,Tags,Description
snare,Snare,Tool,Common,5,0.2,false,false,,0,0,0,0,0,0,0,0,Tool|Primitive|Hunting|Trap,Simple loop trap for small game.

# === CONTAINERS ===
bark_container,Bark Container,Misc,Common,5,0.3,false,false,,0,0,0,0,0,0,0,0,Container|Primitive|Bark,Folded bark container for carrying items.
unfired_pot,Unfired Clay Pot,Misc,Common,3,1.8,false,false,,0,0,0,0,0,0,0,0,Container|Pottery|Unfired,Shaped clay pot ready for firing.
clay_pot,Clay Pot,Misc,Common,3,1.5,false,false,,0,0,0,0,0,0,0,0,Container|Pottery|Cooking,Fired clay pot for cooking and storage.
waterskin,Waterskin,Misc,Common,2,0.4,false,false,,0,0,0,0,0,0,0,0,Container|Leather|Water,Leather bag for carrying water.

# === WEAPONS ===
wooden_spear,Wooden Spear,Weapon,Common,1,1.5,false,false,,0,0,0,0,0,0,0,0,Weapon|Primitive|Spear|Melee,Fire-hardened wooden spear.
flint_spearhead,Flint Spearhead,Material,Common,10,0.15,false,false,,0,0,0,0,0,0,0,0,Material|Primitive|Weapon|Point,Carefully knapped flint spear point.
flint_spear,Flint Spear,Weapon,Common,1,1.8,false,false,,0,0,0,0,0,0,0,0,Weapon|Primitive|Spear|Melee,Spear with flint point. More lethal.
throwing_rock,Throwing Rock,Ammo,Common,20,0.5,false,false,,0,0,0,0,0,0,0,0,Ammo|Primitive|Thrown,Smooth rock sized for throwing.
sling,Sling,Weapon,Common,1,0.1,false,false,,0,0,0,0,0,0,0,0,Weapon|Primitive|Ranged,Woven sling for hurling stones.

# === MEDICINE ===
medicinal_herbs,Medicinal Herbs,Consumable,Common,30,0.1,true,false,,0,0,0,5,0,0,0,0,Medicine|Herb|Healing,Foraged herbs with healing properties.
poultice,Poultice,Consumable,Common,10,0.2,true,false,,0,0,0,0,0,0,0,0,Medicine|Bandage|Healing,Herb-infused dressing for wounds.
splint,Splint,Misc,Common,5,0.3,false,false,,0,0,0,0,0,0,0,0,Medicine|Splint|Bone,Rigid sticks for immobilizing broken bones.

# === MISC ===
tinder,Tinder,Material,Common,30,0.05,false,false,,0,0,0,0,0,0,0,0,Material|Primitive|Fire|Tinder,Dry material that catches fire easily.
kindling,Kindling,Material,Common,30,0.15,false,false,,0,0,0,0,0,0,0,0,Material|Fuel|Wood,Small dry sticks for starting fires.
firewood,Firewood,Material,Common,20,1.0,false,false,,0,0,0,0,0,0,0,0,Material|Fuel|Wood,Split wood for sustained burning.
torch,Torch,Misc,Common,5,0.5,false,false,,0,0,0,0,0,0,0,0,Light|Primitive|Fire,Stick with pitch-soaked head for lighting.
